date,X,Y,Z,DB
2016-07-30 03:18:12:198,1.197101,7.029376,6.502652,68.32514
2016-07-30 03:18:12:697,1.072602,6.991069,6.531382,68.56018
2016-07-30 03:18:13:197,1.465252,6.789956,6.521806,68.63297
2016-07-30 03:18:13:697,1.283292,6.80911,6.665458,67.19536
2016-07-30 03:18:14:198,1.235408,6.924032,6.713342,67.18573
2016-07-30 03:18:14:697,1.331176,6.991069,6.885724,67.67044
2016-07-30 03:18:15:197,1.867477,7.335834,6.11958,65.64212
2016-07-30 03:18:15:697,1.886631,7.852982,6.359,66.097
2016-07-30 03:18:16:197,0.976834,7.671023,3.083732,67.51396
2016-07-30 03:18:16:697,0.153229,9.165004,2.652776,57.77747
2016-07-30 03:18:17:197,0.057461,8.916008,4.012682,62.77751
2016-07-30 03:18:17:698,0.009577,8.762778,3.811569,70.48114
2016-07-30 03:18:18:197,-0.019154,8.858546,3.974375,64.28598
2016-07-30 03:18:18:698,-0.21069,8.590396,4.31914,66.61054
2016-07-30 03:18:19:197,0.095768,8.772356,4.587291,66.20973
2016-07-30 03:18:19:697,0.641646,8.714894,4.070143,57.70651
2016-07-30 03:18:20:197,0.976834,8.90643,3.552995,67.4392
2016-07-30 03:18:20:697,0.986411,8.676588,3.552995,63.90193
2016-07-30 03:18:21:198,2.413355,9.03093,5.027824,62.36626
2016-07-30 03:18:21:697,2.375048,8.676588,4.232949,66.83986
2016-07-30 03:18:22:198,2.30801,8.619126,3.945645,68.82073
2016-07-30 03:18:22:698,2.202666,8.513782,3.974375,64.23439
2016-07-30 03:18:23:197,2.260126,8.63828,4.261679,56.84564
2016-07-30 03:18:23:697,2.240973,8.58082,4.031836,34.92384
2016-07-30 03:18:24:198,2.221819,8.55209,4.012682,34.33165
2016-07-30 03:18:24:697,2.126051,8.542512,4.031836,34.53571
2016-07-30 03:18:25:198,2.145205,8.58082,4.089296,57.81398
2016-07-30 03:18:25:697,2.183512,8.599974,3.974375,64.56517
2016-07-30 03:18:26:198,2.173935,8.619126,4.060566,67.2535
2016-07-30 03:18:26:697,2.126051,8.58082,3.916914,67.94539
2016-07-30 03:18:27:197,2.097321,8.63828,3.916914,67.795
2016-07-30 03:18:27:697,2.116475,8.58082,3.993528,63.62357
2016-07-30 03:18:28:198,2.154782,8.619126,4.012682,48.37967
2016-07-30 03:18:28:697,2.097321,8.571242,4.070143,37.22943
2016-07-30 03:18:29:198,2.097321,8.590396,3.974375,36.28925
2016-07-30 03:18:29:697,2.231396,8.571242,3.936068,55.05492
2016-07-30 03:18:30:198,1.953669,8.55209,4.165911,62.71865
2016-07-30 03:18:30:697,1.877054,8.456322,4.070143,66.82147
2016-07-30 03:18:31:198,1.637634,8.60955,4.395755,68.00211
